"dok_data";"klientas";"suma";"turinys";"lesos_kodas";"lesos_pavadinimas";"pro_kodas";"pro_pavadinimas";"vf_kodas";"vf_pavadinimas";"eko_kodas";"eko_pavadinimas"
"2017-02-02";"Ðiauliø Juliaus Janonio gimnazija";"200,00000000";"Pagal paraiðkà Nr. SP1, data 2017-02-01, suma 32 - 5700.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.06.";"Transporto iðlaikymas"
"2017-03-07";"Ðiauliø Juliaus Janonio gimnazija";"100,00000000";"Pagal paraiðkà Nr. SP2, data 2017-03-02, suma 32 - 6100.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.06.";"Transporto iðlaikymas"
"2017-04-06";"Ðiauliø Juliaus Janonio gimnazija";"100,00000000";"Pagal paraiðkà Nr. SP3, data 2017-04-03, suma 32 - 8400.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.06.";"Transporto iðlaikymas"
"2017-02-02";"Ðiauliø Juliaus Janonio gimnazija";"300,00000000";"Pagal paraiðkà Nr. SP1, data 2017-02-01, suma 32 - 5700.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.10.";"Kitos prekës"
"2017-02-02";"Ðiauliø Juliaus Janonio gimnazija";"200,00000000";"Pagal paraiðkà Nr. SP1, data 2017-02-01, suma 32 - 5700.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.20.";"Komunalinës paslaugos"
"2017-03-07";"Ðiauliø Juliaus Janonio gimnazija";"100,00000000";"Pagal paraiðkà Nr. SP2, data 2017-03-02, suma 32 - 6100.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.20.";"Komunalinës paslaugos"
"2017-02-02";"Ðiauliø Juliaus Janonio gimnazija";"400,00000000";"Pagal paraiðkà Nr. SP1, data 2017-02-01, suma 32 - 5700.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.30.";"Kitos paslaugos"
"2017-03-07";"Ðiauliø Juliaus Janonio gimnazija";"400,00000000";"Pagal paraiðkà Nr. SP2, data 2017-03-02, suma 32 - 6100.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.30.";"Kitos paslaugos"
"2017-04-06";"Ðiauliø Juliaus Janonio gimnazija";"400,00000000";"Pagal paraiðkà Nr. SP3, data 2017-04-03, suma 32 - 8400.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.30.";"Kitos paslaugos"
"2017-02-23";"Ðiauliø Gytariø progimnazija";"500,00000000";"Pagal paraiðkà Nr. 2-32 lëðos, data 2017-02-23, suma 32 - 1600.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.01.01.";"Mokyklos, priskiriamos pagrindinës mokyklos tipui";"2.1.1.1.1.1.E.";"Darbo uþmokestis pinigais"
"2017-03-02";"Ðiauliø Gytariø progimnazija";"500,00000000";"Pagal paraiðkà Nr. 2-32 lëðos, data 2017-03-01, suma 32 - 900.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.01.01.";"Mokyklos, priskiriamos pagrindinës mokyklos tipui";"2.1.1.1.1.1.E.";"Darbo uþmokestis pinigais"
"2017-04-06";"Ðiauliø Gytariø progimnazija";"800,00000000";"Pagal paraiðkà Nr. 4-32 lëðos, data 2017-04-03, suma 32 - 3500.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.01.01.";"Mokyklos, priskiriamos pagrindinës mokyklos tipui";"2.1.1.1.1.1.E.";"Darbo uþmokestis pinigais"
"2017-02-23";"Ðiauliø Gytariø progimnazija";"200,00000000";"Pagal paraiðkà Nr. 2-32 lëðos, data 2017-02-23, suma 32 - 1600.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.01.01.";"Mokyklos, priskiriamos pagrindinës mokyklos tipui";"2.1.2.1.1.1.";"Socialinio draudimo ámokos"
"2017-03-02";"Ðiauliø Gytariø progimnazija";"100,00000000";"Pagal paraiðkà Nr. 2-32 lëðos, data 2017-03-01, suma 32 - 900.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.01.01.";"Mokyklos, priskiriamos pagrindinës mokyklos tipui";"2.1.2.1.1.1.";"Socialinio draudimo ámokos"
"2017-04-06";"Ðiauliø Gytariø progimnazija";"300,00000000";"Pagal paraiðkà Nr. 4-32 lëðos, data 2017-04-03, suma 32 - 3500.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.01.01.";"Mokyklos, priskiriamos pagrindinës mokyklos tipui";"2.1.2.1.1.1.";"Socialinio draudimo ámokos"
"2017-01-26";"Ðiauliø Lieporiø gimnazija";"500,00000000";"Pagal paraiðkà Nr. S-6, data 2017-01-24, suma 32 - 600.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.01.";"Mityba"
"2017-02-02";"Ðiauliø Lieporiø gimnazija";"1400,00000000";"Pagal paraiðkà Nr. S-7, data 2017-02-01, suma 32 - 1600.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.01.";"Mityba"
